rodada_id;id;data_partida;clube_mandante_id;clube_visitante_id
1;1;2018-06-14 12:00:00;26;2
1;2;2018-06-15 09:00:00;12;32
1;3;2018-06-15 12:00:00;19;16
1;4;2018-06-15 15:00:00;25;13
1;5;2018-06-16 07:00:00;14;4
1;6;2018-06-16 13:00:00;23;11
1;7;2018-06-16 10:00:00;3;17
1;8;2018-06-16 16:00:00;10;21
1;9;2018-06-17 09:00:00;9;28
1;10;2018-06-17 15:00:00;6;30
1;11;2018-06-17 12:00:00;1;20
1;12;2018-06-18 09:00:00;29;8
1;13;2018-06-18 12:00:00;5;22
1;14;2018-06-18 15:00:00;31;15
1;15;2018-06-19 09:00:00;7;18
1;16;2018-06-19 12:00:00;24;27
2;17;2018-06-19 15:00:00;26;12
2;18;2018-06-20 12:00:00;32;2
2;19;2018-06-20 09:00:00;25;19
2;20;2018-06-20 15:00:00;16;13
2;21;2018-06-21 09:00:00;11;4
2;22;2018-06-21 12:00:00;14;23
2;23;2018-06-21 15:00:00;3;10
2;24;2018-06-22 12:00:00;21;17
2;25;2018-06-22 09:00:00;6;9
2;26;2018-06-22 15:00:00;28;30
2;27;2018-06-23 12:00:00;8;20
2;28;2018-06-23 15:00:00;1;29
2;29;2018-06-23 09:00:00;5;31
2;30;2018-06-24 09:00:00;15;22
2;31;2018-06-24 12:00:00;18;27
2;32;2018-06-24 15:00:00;24;7


