rodada_id;id;data_partida;clube_mandante_id;clube_visitante_id
1;1;2021-06-13 18:00:00;3;37
1;2;2021-06-13 21:00:00;36;33
1;3;2021-06-14 20:00:00;6;34
1;4;2021-06-14 23:00:00;7;38
2;5;2021-06-17 18:00:00;37;33
2;6;2021-06-17 21:00:00;3;32
2;7;2021-06-18 20:00:00;7;34
2;8;2021-06-18 23:00:00;23;6
3;9;2021-06-20 17:00:00;32;37
3;10;2021-06-20 20:00:00;3;36
3;11;2021-06-21 19:00:00;34;38
3;12;2021-06-21 22:00:00;7;23
4;13;2021-06-23 18:00:00;33;32
4;14;2021-06-23 21:00:00;37;36
4;15;2021-06-24 19:00:00;38;23
4;16;2021-06-24 22:00:00;6;7
5;17;2021-06-27 18:00:00;32;36
5;18;2021-06-27 18:00:00;3;33
5;19;2021-06-28 22:00:00;34;23
5;20;2021-06-28 22:00:00;38;6









